ticker,company_name,yfinance_roe_pct,klse_roe_pct,yfinance_market_cap_rm,klse_market_cap_rm,yfinance_latest_q_net_profit,yfinance_prior_year_q_net_profit,notes,checked_on
1155.KL,MAYBANK,11.14,11.25,126519754752,126519850000.0,2690362000.0,2621404000.0,,2026-09-10T18:05:34+00:00
1295.KL,PBBANK,11.91,11.86,94141857792,94141850000.0,1824552000.0,1842626000.0,,2026-09-10T18:05:34+00:00
5347.KL,TENAGA,7.81,8.87,79975833600,79975830000.0,888800000.0,876900000.0,,2026-09-10T18:05:34+00:00
1961.KL,IOICORP,13.02,12.68,30106101760,30106100000.0,500800000.0,369400000.0,,2026-09-10T18:05:34+00:00
7106.KL,SUPERMX,-3.88,-3.74,1314619136,1403830000.0,80322000.0,-134612000.0,,2026-09-10T18:05:34+00:00
0138.KL,ZETRIX,36.89,23.42,1969307904,2014530000.0,269252000.0,220362000.0,,2026-09-10T18:05:34+00:00
